name,level,school,ritual,casting_time,range,duration,cast_with,hue1,hue2,bright1,bright2,attack_type,saving_throw,availableWhen,onCasting,onCast,onPlayerAttacks,onPlayerHitsTarget,onDispel,die_str,ammo_count,bonus_threshold,bonus_per_level,bonus_type,bonus_max,description,higher_levels,components_material,components_somatic,components_verbal,components_materials_description,classes_0,classes_1,classes_2,classes_3,classes_4,classes_5,classes_6,tags_0,tags_1,tags_2,tags_3,tags_4,tags_5,tags_6,tags_7
Darkness,2,evocation,FALSE,1 action,60 feet,"Concentration, up to 10 minutes",,,,,,,,,,,,,,,1,,,,,"Magical darkness spreads from a point you choose within range to fill a **15-foot** radius sphere for the duration. The darkness spreads around corners. A creature with darkvision can’t see through this darkness, and nonmagical light can’t illuminate it. If the point you choose is on an object you are holding or one that isn’t being worn or carried, the darkness emanates from the object and moves with it. Completely covering the source of the darkness with an opaque object, such as a bowl or a helm, blocks the darkness. If any of this spell’s area overlaps with an area of light created by a spell of 2nd level or lower, the spell that created the light is dispelled.",,TRUE,FALSE,TRUE,bat fur and a drop of pitch or piece of coal,sorcerer,warlock,wizard,,,,,sorcerer,warlock,wizard,level2,,,,
Darkvision,2,transmutation,FALSE,1 action,Touch,8 hours,,,,,,,,,,,,,,,1,,,,,"You touch a willing creature to grant it the ability to see in the dark. For the duration, that creature has darkvision out to a range of **60 feet**.",,TRUE,TRUE,TRUE,either a pinch of dried carrot or an agate,druid,ranger,sorcerer,wizard,,,,druid,ranger,sorcerer,wizard,level2,,,
Daylight,3,evocation,FALSE,1 action,60 feet,1 hour,,,,,,,,,,,,,,,1,,,,,"A 60-foot-radius sphere of light spreads out from a point you choose within range. The sphere is bright light and sheds dim light for an additional **60 feet**.

If you chose a point on an object you are holding or one that isn’t being worn or carried, the light shines from the object and moves with it. Completely covering the affected object with an opaque object, such as a bowl or a helm, blocks the light.

If any of this spell’s area overlaps with an area of darkness created by a spell of 3rd level or lower, the spell that created the darkness is dispelled.",,FALSE,TRUE,TRUE,,cleric,druid,ranger,sorcerer,,,,cleric,druid,paladin,ranger,sorcerer,level3,,
Death Ward,4,abjuration,FALSE,1 action,Touch,8 hours,,,,,,,,,,,,,,,1,,,,,"You touch a creature and grant it a measure of protection from death.

The first time the target would drop to **0 hit points** as a result of taking damage, the target instead drops to 1 hit point, and the spell ends.

If the spell is still in effect when the target is subjected to an effect that would kill it instantaneously without dealing damage, that effect is instead negated against the target, and the spell ends.",,FALSE,TRUE,TRUE,,cleric,paladin,,,,,,cleric,paladin,level4,,,,,
Delayed Blast Fireball,7,evocation,FALSE,1 action,150 feet,"Concentration, up to 1 minute",,,,,,,Dexterity,,,,,,,12d6,1,7,1d6,damage,,"A beam of yellow light flashes from your pointing finger, then condenses to linger at a chose point within range as a glowing bead for the duration. When the spell ends, either because your concentration is broken or because you decide to end it, the bead blossoms with a low roar into an explosion of flame that spreads around corners. Each creature in a **20-foot** radius sphere centered on that point must make a **Dexterity** saving throw. A creature takes **fire damage** equal to the total accumulated damage on a failed save, or half as much damage on a successful one.

The spell's base damage is {spell_DieStrRaw}. If at the end of your turn the bead has not yet detonated, the damage increases by **1d6**.

If the glowing bead is touched before the interval has expired, the creature touching it must make a **Dexterity** saving throw. On a failed save, the spell ends immediately, causing the bead to erupt in flame. On a successful save, the creature can throw the bead up to **40 feet**. When it strikes a creature or a solid object, the spell ends, and the bead explodes.

The fire damages objects in the area and ignites flammable objects that aren't being worn or carried.","When you cast theis spell using a spell slot of 8th level or higher, the base damage increases by 1d6 for each slot level above 7th.",TRUE,TRUE,TRUE,a tiny ball of bat guano and sulfur,sorcerer,wizard,,,,,,sorcerer,wizard,level7,,,,,
Demiplane,8,conjuration,FALSE,1 action,60 feet,1 hour,,,,,,,,,,,,,,,1,,,,,"You create a shadowy door on a flat solid surface that you can see within range. The door is large enough to allow **Medium** creatures to pass through unhindered. When opened, the door leads to a demiplane that appears to be an empty room **30 feet** in each dimension, made of wood or stone. When the spell ends, the door disappears, and any creatures or objects inside the demiplane remain trapped there, as the door also disappears from the other side.

Each time you cast this spell, you can create a new demiplane, or have the shadowy door connect to a demiplane you created with a previous casting of this spell.  Additionally, if you know the nature and contents of a demiplane created by a casting of this spell by another creature, you can have the shadowy door connect to its demiplane instead.",,FALSE,TRUE,FALSE,,warlock,wizard,,,,,,warlock,wizard,level8,,,,,
Destructive Wave,5,evocation,FALSE,1 action,Self (30-foot radius),Instantaneous,,,,,,,Constitution,,,,,,,"5d6(thunder),5d6(radiant/necrotic)",1,,,,,"You strike the ground, creating a burst of divine energy that ripples outward from you. Each creature you choose within **30 feet** of you must succeed on a **Constitution** saving throw or take **5d6** **thunder damage**, as well as **5d6 radiant** or **necrotic damage** (your choice), and be **knocked prone**. A creature that succeeds on its saving throw takes half as much damage and isn't knocked prone.",,FALSE,FALSE,TRUE,,paladin,,,,,,,paladin,level5,,,,,,
Detect Evil and Good,1,divination,FALSE,1 action,Self,"Concentration, up to 10 minutes",,,,,,,,,,,,,,,1,,,,,"For the duration, you know if there is an aberration, celestial, elemental, fey, fiend, or undead within **30 feet** of you, as well as where the creature is located. Similarly, you know if there is a place or object within **30 feet** of you that has been magically consecrated or desecrated.

The spell can penetrate most barriers, but it is blocked by 1 foot of stone, 1 inch of common metal, a thin sheet of lead, or 3 feet of wood or dirt.",,FALSE,TRUE,TRUE,,cleric,paladin,,,,,,cleric,paladin,level1,,,,,
Detect Magic,1,divination,TRUE,1 action,Self,"Concentration, up to 10 minutes",,,,,,,,,,,,,,,1,,,,,"For the duration, you sense the presence of magic within **30 feet** of you. If you sense magic in this way, you can use your action to see a faint aura around any visible creature or object in the area that bears magic, and you learn its school of magic, if any.

The spell can penetrate most barriers, but it is blocked by 1 foot of stone, 1 inch of common metal, a thin sheet of lead, or 3 feet of wood or dirt.",,FALSE,TRUE,TRUE,,bard,cleric,druid,paladin,ranger,sorcerer,wizard,bard,cleric,druid,paladin,ranger,sorcerer,wizard,level1
Detect Poison or Disease,1,divination,TRUE,1 action,Self,"Concentration, up to 10 minutes",,,,,,,,,,,,,,,1,,,,,"For the duration, you can sense the presence and location of poisons, poisonous creatures, and diseases within **30 feet** of you. You also identify the kind of poison, poisonous creature, or disease in each case.

The spell can penetrate most barriers, but it is blocked by 1 foot of stone, 1 inch of common metal, a thin sheet of lead, or 3 feet of wood or dirt.",,TRUE,TRUE,TRUE,a yew leaf,cleric,druid,paladin,ranger,,,,cleric,druid,paladin,ranger,level1,,,
Detect Thoughts,2,divination,FALSE,1 action,Self,"Concentration, up to 1 minute",,,,,,,Wisdom,,,,,,,,1,,,,,"For the duration, you can read the thoughts of certain creatures. When you cast the spell and as your action on each turn until the spell ends, you can focus your mind on any one creature that you can see within **30 feet** of you. If the creature you choose has an Intelligence of 3 or lower or doesn’t speak any language, the creature is unaffected.

You initially learn the surface thoughts of the creature—what is most on its mind in that moment. As an action, you can either shift your attention to another creature’s thoughts or attempt to probe deeper into the same creature’s mind. If you probe deeper, the target must make a **Wisdom** saving throw. If it fails, you gain insight into its reasoning (if any), its emotional state, and something that looms large in its mind (such as something it worries over, loves, or hates). If it succeeds, the spell ends. Either way, the target knows that you are probing into its mind, and unless you shift your attention to another creature’s thoughts, the creature can use its action on its turn to make an Intelligence check contested by your Intelligence check; if it succeeds, the spell ends.

Questions verbally directed at the target creature naturally shape the course of its thoughts, so this spell is particularly effective as part of an interrogation. You can also use this spell to detect the presence of thinking creatures you can’t see. When you cast the spell or as your action during the duration, you can search for thoughts within **30 feet** of you. The spell can penetrate barriers, but 2 feet of rock, 2 inches of any metal other than lead, or a thin sheet of lead blocks you. You can’t detect a creature with an Intelligence of 3 or lower or one that doesn’t speak any language.

Once you detect the presence of a creature in this way, you can read its thoughts for the rest of the duration as described above, even if you can’t see it, but it must still be within range.",,TRUE,TRUE,TRUE,a copper piece,bard,sorcerer,wizard,,,,,bard,sorcerer,wizard,level2,,,,
Dimension Door,4,conjuration,FALSE,1 action,500 feet,Instantaneous,,,,,,,,,,,,,,,1,,,,,"You teleport yourself from your current location to any other spot within range. You arrive at exactly the spot desired. It can be a place you can see, one you can visualise, or one you can describe by stating distance and direction, such as ""**200 feet** straight downward"" or ""upward to the northwest at a 45-degree angle, **300 feet**.""

You can bring along objects as long as their weight doesn't exceed what you can carry. You can also bring one willing creature of your size or smaller who is carrying gear up to its carrying capacity. The creature must be within **5 feet** of you when you cast this spell.

If you would arrive in a place already occupied by an object or a creature, you and any creature travelling with you each take **4d6 force damage**, and the spell fails to teleport you.",,FALSE,FALSE,TRUE,,bard,sorcerer,warlock,wizard,,,,bard,sorcerer,warlock,wizard,level4,,,
Disguise Self,1,illusion,FALSE,1 action,Self,1 hour,,,,,,,,,,,,,,,1,,,,,"You make yourself -- including your clothing, armor, weapons, and other belongings on your person -- look different until the spell ends or until you use your action to dismiss it. You can seem 1 foot shorter or taller and can appear thin, fat, or in between. You can't change your body type, so you must adopt a form that has the same basic arrangement of limbs. Otherwise, the extent of the illusion is up to you.

The changes wrought by this spell fail to hold up to physical inspection. For example, if you use this spell to add a hat to your outfit, objects pass through the hat, and anyone who touches it would feel nothing or would feel your head and hair. If you use this spell to appear thinner than you are, the hand of someone who reaches out to touch you would bump into you while it was seemingly still in midair.

To discern that you are disguised, a creature can use its action to inspect your apperance and must succeed on an Intelligence **(Investigation)** check against your spell save DC.",,FALSE,TRUE,TRUE,,bard,cleric,sorcerer,wizard,,,,bard,cleric (trickery),sorcerer,wizard,level1,,,
Disintegrate,6,transmutation,FALSE,1 action,60 feet,Instantaneous,,,,,,,Dexterity,,,,,,,10d6+40(force),1,6,3d6,damage,,"A thin green ray springs from your pointing finger to a target that you can see within range. The target can be a creature, an object, or a creation of magical force, such as the wall created by wall of force.

A creature targeted by this spell must make a **Dexterity** saving throw. On a failed save, the target takes {spell_DieStrRaw} **force damage**. If this damage reduces the target to **0 hit points**, it is disintegrated.

A disintegrated creature and everything it is wearing and carrying, except magic items, are reduced to a pile of fine gray dust. The creature can be restored to life only by means of a *true resurrection* or a *wish spell*.

This spell automatically disintegrates a **Large** or smaller nonmagical object or a creation of magical force. If the target is a **Huge** or larger object or creation of force, this spell disintegrates a **10-foot** cube portion of it. Magic items are unaffected by this spell.","When you cast this spell using a spell slot of 7th level or higher, the damage increases by 3d6 for each slot level above 6th.",TRUE,TRUE,TRUE,a lodestone and a pinch of dust,sorcerer,wizard,,,,,,sorcerer,wizard,level6,,,,,
Dispel Evil and Good,5,abjuration,FALSE,1 action,Self,"Concentration, up to 1 minute",,,,,,,,,,,,,,,1,,,,,"Shimmering energy surrounds and protects you from fey, undead, and creatures originating from beyond the Material Plane. For the duration, celestials, elementals, fey, fiends, and undead have **disadvantage** on attack rolls against you.

You can end the spell early by using either of the following special functions.",,TRUE,TRUE,TRUE,holy water or powdered silver and iron,cleric,paladin,,,,,,cleric,paladin,level5,,,,,
Dispel Magic,3,abjuration,FALSE,1 action,120 feet,Instantaneous,,,,,,,,,,,,,,,1,*,,,,"Choose one creature, object, or magical effect within range. Any spell of 3rd level or lower on the target ends. For each spell of 4th level or higher on the target, make an ability check using your spellcasting ability. The DC equals 10 + the spell’s level. On a successful check, the spell ends.","When you cast this spell using a spell slot of 4th level or higher, you automatically end the effects of a spell on the target if the spell’s level is equal to or less than the level of the spell slot you used.",FALSE,TRUE,TRUE,,bard,cleric,druid,paladin,sorcerer,warlock,wizard,bard,cleric,druid,paladin,sorcerer,warlock,wizard,level3
Dissonant Whispers,1,enchantment,FALSE,1 action,60 feet,Instantaneous,,,,,,,Wisdom,,,,,,,3d6(psychic),1,1,1d6,damage,,"You whisper a discordant melody that only one creature of your choice within range can hear, wracking it with terrible pain. The target must make a **Wisdom** saving throw. On a failed save, it takes {spell_DieStrRaw} **psychic damage** and must immediately use its reaction, if available, to move as far as its speed allows away from you. The creature doesn't move into obviously dangerous ground, such as a fire or a pit. On a successful save, the target takes half as much damage and doesn't have to move away. A **deafened** creature automatically succeeds on the save.","When you cast this spell using a spell slot of 2nd level or higher, the damage increases by 1d6 for each slot level above 1st.",FALSE,FALSE,TRUE,,bard,,,,,,,bard,level1,,,,,,
Divination,4,divination,TRUE,1 action,Self,Instantaneous,,,,,,,,,,,,,,,1,,,,,"Your magic and an offering put you in contact with a god or a god's servants. You ask a single question concerning a specific goal, event, or activity to occur within **7 days**. The DM offers a truthful reply. The reply might be a short phrase, a cryptic rhyme, or an omen.

The spell doesn't take into account any possible circumstances that might change the outcome, such as the casting of additional spells or the loss or gain of a companion.

If you cast this spell two or more times before finishing your next long rest, there is a cumulative **25 percent chance** for each casting after the first that you get a random reading. The DM makes this roll in secret.",,TRUE,TRUE,TRUE,"incense and a sacrificial offering appropriate to your religion, together worth at least 25 gp, which the spell consumes",cleric,,,,,,,cleric,level4,,,,,,
Divine Favor,1,evocation,FALSE,1 bonus action,Self,"Concentration, up to 1 minute",,,,,,,,,,,,,,+1d4(radiant),1,,,,,"Your prayer empowers you with divine radiance. Until the spell ends, your weapon attacks deal an extra **1d4 radiant damage** on a hit.",,FALSE,TRUE,TRUE,,paladin,,,,,,,paladin,level1,,,,,,
Divine Smite,*,,FALSE,0 action,Unlimited,,,,,,,,,,,,,,,!2d8(radiant:damage),1,1,1d8,damage,5,"When you hit with a melee weapon attack, you can expend one spell slot to deal 2d8 extra **radiant damage** to the target plus 1d8 for each spell level higher than 1st (max 5d8).","When you cast this spell using a spell slot of 2nd level or higher, the damage increases by 1d8 for each slot level above 1st (max 5d8).",FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,
Divine Smite (undead/fiends),*,,FALSE,0 action,Unlimited,,,,,,,,,,,,,,,!3d8(radiant:damage),1,1,1d8,damage,6,"When you hit with a melee weapon attack, you can expend one spell slot to deal 2d8 extra **radiant damage** to the target plus 1d8 for each spell level higher than 1st plus 1d8 against undead or fiends (max 6d8 total).","When you cast this spell using a spell slot of 2nd level or higher, the damage increases by 1d8 for each slot level above 1st (max 6d8).",FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,
Divine Word,7,evocation,FALSE,1 bonus action,30 feet,Instantaneous,,,,,,,,,,,,,,,1,,,,,"Regardless of its current hit points, a celestial, an element, a fey or a fiend that fails its save is forced back to its plane of origin (if it isn't there already) and can't return to your current plane for **24 hours** by any means short of a *wish* spell.",,FALSE,FALSE,TRUE,,cleric,,,,,,,cleric,level7,,,,,,
Dominate Beast,4,enchantment,FALSE,1 action,60 feet,"Concentration, up to 1 minute",,,,,,,Wisdom,,,,,,,,1,*,,,,"You attempt to beguile a beast that you can see within range. It must succeed on a **Wisdom** saving throw or be **charmed** by you for the duration. If you or creatures that are friendly to you are fighting it, it has **advantage** on the saving throw.

While the beast is **charmed**, you have a telepathic link with it as long as the two of you are on the same plane of existence. You can use this telepathic link to issue commands to the creature while you are conscious (no action required), which it does its best to obey. You can specify a simple and general course of action, such as ""Attack that creature"", ""Run over there"", or ""Fetch that object"". If the creature completes the order and doesn't receive further direction from you, it defends and preserves itself to the best of its ability.

You can use your action to take total and precise control of the target. Until the end of your next turn, the creature takes only the actions you choose, and doesn't do anything that you don't allow it to do. During this time, you can also cause the creature to use a reaction, but this requires you to use your own reaction as well. Each time the target takes damage, it makes a new **Wisdom** saving throw against the spell. If the saving throw succeeds, the spell ends.","When you cast this spell with a 5th-level spell slot, the duration is concentration, up to 10 minutes. When you use a 6th-level spell slot, the duration is concentration, up to 1 hour. When you use a spell slot of 7th level or higher, the duration is concentration, up to 8 hours.",FALSE,TRUE,TRUE,,druid,sorcerer,,,,,,druid,sorcerer,level4,,,,,
Dominate Monster,8,enchantment,FALSE,1 action,60 feet,"Concentration, up to 1 hour",,,,,,,Wisdom,,,,,,,,1,*,,,,"You attempt to beguile a creature that you can see within range. It must succeed on a **Wisdom** saving throw or be **charmed** by you for the duration. If you or creatures that are friendly to you are fighting it, it has **advantage** on the saving throw.

While the creature is **charmed**, you have a telepathic link with it as long as the two of you are on the same plane of existence. You can use this telepathic link to issue commands to the creature while you are conscious (no action required), which it does its best to obey. You can specify a simple and general course of action, such as ""Attack that creature,"" ""Run over there,"" or ""Fetch that object."" If the creature completes the order and doesn't receive further direction from you, it defends and preserves itself to the best of its ability.

You can use your action to take total and precise control of the target. Until the end of your next turn, the creature takes only the actions you choose, and doesn't do anything that you don't allow it to do. During this time, you can also cause the creature to use a reaction, but this requires you to use your own reaction as well.

Each time the target takes damage, it makes a new **Wisdom** saving throw against the spell. If the saving throw succeeds, the spell ends.","When you cast this spell with a 9th-level spell slot, the duration is concentration, up to 8 hours.",FALSE,TRUE,TRUE,,bard,sorcerer,warlock,wizard,,,,bard,sorcerer,warlock,wizard,level8,,,
Dominate Person,5,enchantment,FALSE,1 action,60 feet,"Concentration, up to 1 minute",,,,,,,Wisdom,,,,,,,,1,*,,,,"You attempt to beguile a humanoid that you can see within range. It must succeed on a **Wisdom** saving throw or be **charmed** by you for the duration. If you or creatures that are friendly to you are fighting it, it has **advantage** on the saving throw.

While the target is **charmed**, you have a telepathic link with it as long as the two of you are on the same plane of existence. You can use this telepathic link to issue commands to the creature while you are conscious (no action required), which it does its best to obey. You can specify a simple and general course of action, such as ""Attack that creature"", ""Run over there"", or ""Fetch that object"". If the creature completes the order and doesn't receive further direction from you, it defends and preserves itself to the best of its ability.

You can use your action to take total and precise control of the target. Until the end of your next turn, the creature takes only the actions you choose, and doesn't do anything that you don't allow it to do. During this time you can also cause the creature to use a reaction, but this requires you to use your own reaction as well. Each time the target takes damage, it makes a new **Wisdom** saving throw against the spell. If the saving throw succeeds, the spell ends.","When you cast this spell using a 6th-level spell slot, the duration is concentration, up to 10 minutes. When you use a 7th-level spell slot, the duration is concentration, up to 1 hour. When you use a spell slot of 8th level or higher, the duration is concentration, up to 8 hours.",FALSE,TRUE,TRUE,,bard,sorcerer,wizard,,,,,bard,sorcerer,wizard,level5,,,,
Dragon's Breath,2,transmutation,FALSE,1 bonus action,Touch,"Concentration, up to 1 minute",,,,,,,,,,"Set(_dragonsBreathDamage, Ask(""Dragon's Breath - Select Damage Type:"", ""1:Acid"", ""4:Cold"", ""8:Fire"", ""32:Lightning"", ""256:Poison""));",,,,1d6,1,2,1d6,damage,,"You touch one willing creature and imbue it with the power to spew magical energy from its mouth, provided it has one. Choose **acid**, **cold**, **fire**, **lightning**, or **poison**. Until the spell ends, the creature can use an action to exhale energy of the chosen type in a **15-foot** cone dealing {spell_DieStrRaw} damage.","When you cast this spell using a spell slot of 3rd level or higher, the damage increases by 1d6 for each slot level above 2nd.",TRUE,TRUE,TRUE,a hot pepper,sorcerer,,,,,,,sorcerer,level2,,,,,,
Cast: Dragon's Breath,*,transmutation,FALSE,1 action,Self (15-foot cone),1 minute,,,,,,,Dexterity,,,,,,,3d6,1,2,1d6,damage,,"Until the spell ends, the creature can use an action to exhale energy of the chosen type (**acid**, **cold**, **fire**, **lightning**, or **poison**) in a **15-foot** cone. Each creature in that area must make a **Dexterity** saving throw, taking **3d6** damage of the chosen type on a failed save, or half as much damage on a successful one.","When this spell is cast using a spell slot of 3rd level or higher, the damage increases by 1d6 for each slot level above 2nd.",FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,
Dream,5,illusion,FALSE,1 minute,Special,8 hours,,,,,,,Wisdom,,,,,,,,1,,,,,"This spell shapes a creature's dreams. Choose a creature known to you as the target of this spell. The target must be on the same plane of existence as you. Creatures that don't sleep, such as elves, can't be contacted by this spell. You, or a willing creature you touch, enters a trance state, acting as a messenger. While in the trance, the messenger is aware of his or her surroundings, but can't take actions or move.

If the target is asleep, the messenger appears in the target's dreams and can converse with the target as long as it remains asleep, through the duration of the spell. The messenger can also shape the environment of the dream, creating landscapes, objects, and other images. The messenger can emerge from the trance at any time, ending the effect of the spell early. The target recalls the dream perfectly upon waking. If the target is awake when you cast the spell, the messenger knows it, and can either end the trance (and the spell) or wait for the target to fall asleep, at which point the messenger appears in the target's dreams.

You can make the messenger appear monstrous and terrifying to the target. If you do, the messenger can deliver a message of no more than ten words and then the target must make a **Wisdom** saving throw. On a failed save, echoes of the phantasmal monstrosity spawn a nightmare that lasts the duration of the target's sleep and prevents the target from gaining any benefit from that rest. In addition, when the target wakes up, it takes **3d6** **psychic damage**.

If you have a body part, lock of hair, clipping from a nail, or similar portion of the target's body, the target makes its saving throw with **disadvantage**.",,TRUE,TRUE,TRUE,"a handful of sand, a dab of ink, and a writing quill plucked from a sleeping bird",bard,warlock,wizard,,,,,bard,warlock,wizard,level5,,,,
Druidcraft,cantrip,transmutation,FALSE,1 action,30 feet,Instantaneous,,,,,,,,,,,,,,,1,,,,,"Whispering to the spirits of nature, you create one of the following effects within range:

* You create a tiny, harmless sensory effect that predicts what the weather will be at your location for the next **24 hours**. The effect might manifest as a golden orb for clear skies, a cloud for rain, falling snowflakes for snow, and so on. This effect persists for **1 round**.

* You instantly make a flower bloom, a seed pod open, or a leaf bud bloom.

* You create an instantenous, harmless sensory effect, such as falling leaves, a puff of wind, the sound of a small animal, or the faint order of skunk. The effect must fit in a **5-foot** cube.

* You instantly light or snuff out a candle, a torch, or a small campfire.",,FALSE,TRUE,TRUE,,druid,,,,,,,druid,cantrip,,,,,,
Dust Devil,2,conjuration,FALSE,1 action,60 feet,"Concentration, up to 1 minute",,,,,,,Strength,,,,,,,1d8(bludgeoning),1,2,1d8,damage,,"Choose an unoccupied **5-foot** cube of air that you can see within range. An elemental force that resembles a dust devil appears in the cube and lasts for the spell’s duration.

Any creature that ends its turn within **5 feet** of the dust devil must make a **Strength** saving throw. On a failed save, the creature takes {spell_DieStrRaw} **bludgeoning damage** and is pushed **10 feet** away. On a successful save, the creature takes half as much damage and isn’t pushed.

As a **bonus action**, you can move the dust devil up to **30 feet** in any direction. If the dust devil moves over sand, dust, loose dirt, or small gravel, it sucks up the material and forms a **10-foot** radius cloud of debris around itself that lasts until the start of your next turn. The cloud heavily obscures its area.","When you cast this spell using a spell slot of 3rd level or higher, the damage increases by 1d8 for each slot level above 2nd.",TRUE,TRUE,TRUE,a pinch of dust,druid,sorcerer,wizard,,,,,druid,sorcerer,wizard,level2,,,,
Earth Tremor,1,evocation,FALSE,1 action,Self (10-foot radius),Instantaneous,,,,,,,Dexterity,,,,,,,1d6(bludgeoning),1,1,1d6,damage,,"You cause a tremor in the ground in a **10-foot** radius. Each creature other than you in that area must make a **Dexterity** saving throw. On a failed save, a creature takes {spell_DieStrRaw} **bludgeoning damage** and is knocked **prone**. If the ground in that area is loose earth or stone, it becomes difficult terrain until cleared.","When you cast this spell using a spell slot of 2nd level or higher, the damage increases by 1d6 for each slot level above 1st.",FALSE,TRUE,TRUE,,bard,druid,sorcerer,wizard,,,,bard,druid,sorcerer,wizard,level1,,,
Earthbind,2,transmutation,FALSE,1 action,300 feet,"Concentration, up to 1 minute",,,,,,,Strength,,,,,,,,1,,,,,Choose one creature you can see within range. Yellow strips of magical energy loop around the creature. The target must succeed on a **Strength** saving throw or its flying speed (if any) is reduced to 0 feet for the spell’s duration. An airborne creature affected by this spell descends at **60 feet** per round until it reaches the ground or the spell ends.,,FALSE,FALSE,TRUE,,druid,sorcerer,warlock,wizard,,,,druid,sorcerer,warlock,wizard,level2,,,
Earthquake,8,evocation,FALSE,1 action,500 feet,"Concentration, up to 1 minute",,,,,,,Constitution,,,,,,,,1,,,,,"You create a seismic disturbance at a point on the ground that you can see within range. For the duration, an intense tremor rips through the ground in a **100-foot** radius circle centered on that point and shakes creatures and structures in contact with the ground in that area.

The ground in the area becomes difficult terrain. Each creature on the ground that is concentrating must make a **Constitution** saving throw. On a failed save, the creature's concentration is broken.

When you cast this spell and at the end of each turn you spend concentrating on it, each creature on the ground in the area must make a **Dexterity** saving throw. On a failed save, the creature is knocked **prone**.

This spell can have additional effects depending on the terrain in the area, as determined by the DM.

* **Fissures** Fissures open throughout the spell's area at the start of your next turn after you cast the spell. A total of **1d6** such fissures open in locations chosen by the DM. Each is **1d10** x **10 feet** deep, **10 feet** wide, and extends from one edge of the spell's area to the opposite side. A creature standing on a spot where a fissure opens must succeed on a **Dexterity** saving throw or fall in. A creature that successfully saves moves with the fissure's edge as it opens. A fissure that opens beneath a structure causes it to automatically collapse (see below).

* **Structures** The tremor deals **50 bludgeoning damage** to any structure in contact with the ground in the area when you cast the spell and at the start of each of your turns until the spell ends. If a structure drops to 0 Hit Points, it collapses and potentially damages nearby creatures. A creature within half the distance of a structure's height must make a Dexterity saving throw. On a failed save, the creature takes **5d6 bludgeoning damage**, is knocked **prone**, and is **buried** in the rubble, requiring a **DC 20** Strength (**Athletics**) check as an action to escape. The DM can adjust the DC higher or lower, depending on the nature of the rubble. On a successful save, the creature takes half as much damage and doesn't fall prone or become buried.",,TRUE,TRUE,TRUE,"a pinch of dirt, a piece of rock, and a lump of clay",cleric,druid,sorcerer,,,,,cleric,druid,sorcerer,level8,,,,
Eldritch Blast,cantrip,evocation,FALSE,1 action,120 feet,Instantaneous,,,,,,ranged,,,,,,,,1d10(force),1,,,,,"A beam of crackling energy streaks toward a creature within range. Make a ranged spell attack against the target. On a hit, the target takes **1d10** **force damage**.",,FALSE,TRUE,TRUE,,warlock,,,,,,,warlock,cantrip,,,,,,
Elemental Bane,4,transmutation,FALSE,1 action,90 feet,"Concentration, up to 1 minute",,,,,,,Constitution,,,,,,,,1,4,1,target,,"Choose {spell_AmmoCount_word} {Plural(spell_AmmoCount, ""creature"", ""creatures"")} you can see within range, and choose one of the following damage types: **acid**, **cold**, **fire**, **lightning**, or **thunder**. The target must succeed on a **Constitution** saving throw or be affected by the spell for its duration. The first time each turn the affected target takes damage of the chosen type, the target takes an extra 2d6 damage of that type. Moreover, the target loses any resistance to that damage type until the spell ends.","When you cast this spell using a spell slot of 5th level or higher, you can target one additional creature for each slot level above 4th. The creatures must be within 30 feet of each other when you target them.",FALSE,TRUE,TRUE,,druid,warlock,wizard,,,,,druid,warlock,wizard,level4,,,,
Elemental Weapon,3,transmutation,FALSE,1 action,Touch,"Concentration, up to 1 hour",,,,,,,,,,,,,,,1,*,,,,"A nonmagical weapon you touch becomes a magic weapon. Choose one of the following damage types: **acid**, **cold**, **fire**, **lightning**, or **thunder**. For the duration, the weapon has a **+1** bonus to attack rolls and deals an extra **1d4** damage of the chosen type when it hits.","When you cast this spell using a spell slot of 5th or 6th level, the bonus to attack rolls increases to +2 and the extra damage increases to 2d4. When you use a spell slot of 7th level or higher, the bonus increases to +3 and the extra damage increases to 3d4.",FALSE,TRUE,TRUE,,paladin,,,,,,,paladin,level3,,,,,,
Enhance Ability,2,transmutation,FALSE,1 action,Touch,"Concentration, up to 1 hour",,,,,,,,,,,,,,,1,2,1,target,,"You touch {spell_AmmoCount_word} {Plural(spell_AmmoCount, ""creature"", ""creatures"")} and bestow upon {Plural(spell_AmmoCount, ""it"", ""them"")} a magical enhancement. Choose one of the following effects; the target gains that effect until the spell ends.

* **Bear's Endurance**: The target has **advantage** on **Constitution** checks. It also gains **2d6 temporary hit points**, which are lost when the spell ends.

* **Bull's Strength**: The target has **advantage** on **Strength** checks, and his or her **carrying Capacity doubles**.

* **Cat's Grace**: The target has **advantage** on **Dexterity** checks. It also doesn't take damage from **falling 20 feet** or less if it isn't **incapacitated**.

* **Eagle's Splendor**: The target has **advantage** on **Charisma** checks.

* **Fox's Cunning**: The target has **advantage** on **Intelligence** checks.

* **Owl's Wisdom**: The target has **advantage** on **Wisdom** checks.","When you cast this spell using a spell slot of 3rd level or higher, you can target one additional creature for each slot level above 2nd.",TRUE,TRUE,TRUE,fur or a feather from a beast,bard,cleric,druid,sorcerer,,,,bard,cleric,druid,sorcerer,level2,,,
